replicate_id,total_reads
JHOC5-311cas9 Rep A p6_20150925_batch3,49733342
JURLMK1-311Cas9_RepA_p6_batch3,47954412
SNU620-311cas9-RepA-p6_batch4,34048195
CCF-STTG1-311Cas9_RepA_p5_batch3,39924893
EFM19-311cas9_RepA_p5_batch2,45933485
IST-MES2-311Cas9_RepA_p6_batch3,42750095
YAPC-311Cas9 Rep A p6_batch3,45003803
AML3_c905R1,43286288
DB-311Cas9_RepA_p3_batch3,34605537
MSTO-211H-311Cas9_RepA_p6_batch3,36191193
OCIAML3-311CAS9_RepA_p6_batch3,24589045
H3122_c906R1,25324750
HCC461-Avana4 Rep A p6_batch3,36056826
NCIH3122-311Cas9_RepA_p6_batch3,39622106
NCIH522-311Cas9_RepA_p6_batch4,34171813
SK-N-FI-311Cas9 Rep A p3_batch2,51720219
SKNFI_c906R1,29610767
SNU668-311cas9_RepA_p6_batch3,56974518
CO678_c903R4,67786694
COLO-678-311Cas9 Rep A p5_batch3,68584221
JVM3-311cas9_RepA_p6_batch4,24046834
RPMI7951-311Cas9_RepA_p5_batch3,44065932
CAPAN1_c904R1,43656719
HCC1428-311Cas9_RepA_p6_batch3,74308174
NCI-H82-311Cas9_RepA_p6_batch3,45194548
MKN45 -311Cas9_RepA_p6_batch3,47239164
MOLM-13-311cas9 Rep A p5_batch3,39756837
SK-MM-2-311Cas9_RepA_p6_batch3,118837621
SKHEP1-311Cas9_RepA_p6_batch3,44478403
SK-N-DZ-311Cas9_RepA_p5_batch2,38287709
SKNDZ_c906R1,41381813
SUDHL4-311Cas9_RepA_p6_batch3,48341398
U2-OS-311Cas9_RepA_p6_batch3,52939175
H226_c90R1,46749898
SNU-1105-311Cas9_RepA_p6_batch3,52833570
SNU626-311Cas9-RepB-p5_batch3,23196359
G402-311Cas9_RepA_p6_batch3,63268281
HCC1143-311cas9 Rep A p6_batch2,50293414
HCC114_c904R1,31576300
RL-311cas9-RepA-p6_batch3,45120656
SF-295-311Cas9_RepA_p6_batch3,34543750
SF295_c907R1,39198471
SNU-478-311Cas9_RepA_p6_batch3,53483068
NCI-H647-311cas9_RepA_p6_batch3,40479368
OE33-311Cas9_RepA_p4_batch2,47815630
OE33_C907R1,20559492
T84-311Cas9 Rep A p6_batch3,50941183
T84_c903R4,37891319
H4-311cas9_RepA_p6_batch3,41804504
SKRC20-311Cas9_RepA_p6_batch3,23682802
TF-1-311cas9 Rep A p5_20150925_batch3,55614193
LUDLU1-311Cas9_RepA_p4_batch2,42239078
MHHES1-311Cas9_RepA_p6_batch4,34073651
MHHES1_c907R1,40558272
H520_c906R1,45455231
HLF-311Cas9_RepA_p6_batch3,43287747
NCI-H520-311Cas9 Rep A p6_batch3,40534596
TEN-311Cas9_RepA_p6_batch3,61499018
BL70-311cas9_RepB_p6_batch3,69268583
COLO-800-311Cas9_RepA_p6_batch3,61595427
NCI-H747-311cas9 Rep A p3_batch2,32731906
Ri1-311cas9_RepA_p6_batch4,30382554
K029AX-311cas9_RepB_p6_batch3,18181399
MEC1MEC2-311cas9_RepA_p6_batch4,32122435
SNU-685-311CAS9_RepA_p5_batch3,47618800
U937-101Cas9 Rep A p6_batch3,89463228
769-P-311Cas9_RepA_p5_batch3,37770640
769P_c908R1,38138218
Saos-2-311cas9_RepA_p6_batch3,70959337
TE-5-311Cas9_RepA_p6_batch2,58356572
TE5_c908R1,32161310
H1944_c906R1,35250243
NCI-H1944-311cas9 Rep A p5_batch3,59695850
BICR-6-311Cas9_RepA_p6_batch3,56025766
NCI-H838-311Cas9_RepA_p4_batch3,51595173
P0813_c904R1,33428447
PANC0813-311Cas9-RepA-p6_batch4,33139734
SNU-475-311Cas9_RepA_p6_batch3,46537912
SNU449-311Cas9_RepA_p5_batch3,43843361
SW837-311cas9 Rep A p5_batch2,42543467
SW837_c903R1,58571422
TC-71-311Cas9_RepA_p6_batch3,48058809
TC71_c907R1,35446952
UACC62-311Cas9_RepA_p5_batch3,40674973
KMS20-311Cas9_RepA_p4_batch3,49621298
N87_c908R1,33886590
NCI-N87-311Cas9_RepA_p4_batch3,56207242
TYKnu_c905R1,29228024
CAKI-1-311Cas9_RepA_p4_batch2,52196791
H1915_c906R1,32326094
NCI-H1915-311Cas9_RepA_p6_batch3,44186748
NCIH1694-311Cas9_RepA_p4_batch3,34483160
EFE-184-311Cas9_RepA_p6_batch3,43670747
OCI-MY7-311Cas9_RepA_p6_batch3,32100855
SW1088-311Cas9_RepA_p6_batch3,49573490
SW1088_c907R1,29934517
LU65-311cas9-RepA-p6_batch3,44719448
LU65_c906R4,43252070
